Title,price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,id
SNN Residency,ýýý 799,V. O. C. Nagar | 10 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 204 Off,3.2, (Good),104,24%,"['Vehicle Rentals', 'Free Wi-Fi', 'Air Conditioning']",Rameshwaram,09-08-2021,11-08-2021,6281
Hotel Ramleela,"ýýý 1,269",V. O. C. Nagar | 760 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 324 Off,3.7, (Good),59,6%,"['Lounge', 'Butler Services', 'Kids Play Area']",Rameshwaram,09-08-2021,11-08-2021,6282
Sri Saravana Hotel,"ýýý 1,122",E Bazaar St | 410 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 870 Off,3.8, (Good),184,6%,"['ATM', 'Vehicle Rentals', 'Elevator/Lift']",Rameshwaram,09-08-2021,11-08-2021,6283
HOTEL SUDHIKSHA DELUXE AC,ýýý 893,E Bazaar St | 520 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 227 Off,3.5, (Good),35,6%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Rameshwaram,09-08-2021,11-08-2021,6284
Taj Hotel,ýýý 658,V. O. C. Nagar | 520 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 168 Off,3.3, (Good),59,25%,"['Free Parking', '24-hour Room Service', 'Power Backup']",Rameshwaram,09-08-2021,11-08-2021,6285
Hotel Ambika,ýýý 649,S Car St | 180 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 446 Off,3.3, (Good),3,6%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Rameshwaram,09-08-2021,11-08-2021,6286
HOTEL TEMPLE GATE,"ýýý 1,035",E Bazaar St | 600 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 643 Off,3.7, (Good),23,6%,"['Vehicle Rentals', 'Free Wi-Fi', 'Elevator/Lift']",Rameshwaram,09-08-2021,11-08-2021,6287
KARTHEES RESIDENCY,ýýý 856,V. O. C. Nagar | 390 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,3, (Good),193,23%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Rameshwaram,09-08-2021,11-08-2021,6288
Hotel Sri Ganesh,ýýý 547,V. O. C. Nagar | 280 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 139 Off,3.3, (Good),79,20%,"['Nearby Beach', 'Free Parking', 'Air Conditioning']",Rameshwaram,09-08-2021,11-08-2021,6289
Hotel Blue Star,ýýý 745,E Bazaar St | 550 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 190 Off,3.9, (Good),76,14%,"['Nearby Beach', 'Lounge', 'Tours and Treks']",Rameshwaram,09-08-2021,11-08-2021,6290
Mukilan Lodge A/C,ýýý 931,Vannar Street | 1.5 km from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 237 Off,4, (Very Good),1,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Rameshwaram,09-08-2021,11-08-2021,6291
Hotel Senthil Murugan Lodge,"ýýý 1,504",V. O. C. Nagar | 380 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 384 Off,2.8,,75,25%,"['Vehicle Rentals', 'Air Conditioning', 'Room Service']",Rameshwaram,09-08-2021,11-08-2021,6292
Hotel Raamajeyam,ýýý 846,Middle St | 660 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 215 Off,3.1, (Good),55,6%,"['Free Parking', 'Conference Room', 'ATM']",Rameshwaram,09-08-2021,11-08-2021,6293
Beachview Cottage,ýýý 846,V. O. C. Nagar | 450 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 215 Off,3.1, (Good),16,6%,"['Free Wi-Fi', 'Restaurant', 'Room Service']",Rameshwaram,09-08-2021,11-08-2021,6294
HOTEL SHREE,"ýýý 1,692",E Bazaar St | 410 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 432 Off,2.6,,58,6%,"['Kitchenette', 'Cafe', 'Elevator/Lift']",Rameshwaram,09-08-2021,11-08-2021,6295
Prakash Hotel,ýýý 499,E Bazaar St | 430 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 127 Off,3.4, (Good),127,6%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Rameshwaram,09-08-2021,11-08-2021,6296
SREE KUMARAN DELUXE,ýýý 734,Middle St | 330 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 505 Off,2.3,,9,6%,"['Vehicle Rentals', 'Air Conditioning', '24-hour Room Service']",Rameshwaram,09-08-2021,11-08-2021,6297
Hotel Shri Kannika,"ýýý 1,284",E Bazaar St | 370 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 579 Off,1.9,,14,6%,"['Free Parking', 'Free Shuttle Service', 'ATM']",Rameshwaram,09-08-2021,11-08-2021,6298
Hotel Queen Palace,"ýýý 1,240",P.N. Nagar | 1.1 km from city centre2.0 km from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 961 Off,3.2, (Good),50,23%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Rameshwaram,09-08-2021,11-08-2021,6299
Hotel Siva Sakthi,ýýý 950,Barathi Nagar | 460 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 461 Off,3.9, (Good),70,14%,"['Yoga', 'Nearby Beach', 'Free Parking']",Rameshwaram,09-08-2021,11-08-2021,6300
Maruthu Lodge A/C,ýýý 931,V. O. C. Nagar | 780 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 237 Off,3.6, (Good),169,36%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Rameshwaram,09-08-2021,11-08-2021,6301
Hotel Harish,ýýý 848,E Bazaar St | 620 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 382 Off,3.6, (Good),43,37%,"['Free Parking', 'Vehicle Rentals', 'Free Wi-Fi']",Rameshwaram,09-08-2021,11-08-2021,6302
Hotel Sunrise View,ýýý 685,S Car St | 0 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 308 Off,3.3, (Good),16,6%,"['Nearby Beach', 'Free Parking', 'Elevator/Lift']",Rameshwaram,09-08-2021,11-08-2021,6303
Harinisuthan Residency,"ýýý 3,500",V. O. C. Nagar | 510 m from Rameswaram Temple,,3.8, (Good),81,14%,"['Kitchenette', 'Living Room', 'Power Backup']",Rameshwaram,09-08-2021,11-08-2021,6304
Sri Ram Residency,"ýýý 1,304",Vannar Street | 1.2 km from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 1500 Off,2.5,,175,32%,"['Golf', 'Yoga', 'Lounge']",Rameshwaram,09-08-2021,11-08-2021,6305
JKR Resort & Spa,"ýýý 4,465",Aathi Kaadu | 1.3 km from city centre2.2 km from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 1127 Off,1.8,,5,,"['Lounge', 'Indoor Games', 'Kids Play Area']",Rameshwaram,09-08-2021,11-08-2021,6306
Hotel Panchavarnaa,ýýý 898,V. O. C. Nagar | 630 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 313 Off,,,,35%,"['Air Conditioning', 'Room Service', 'Power Backup']",Rameshwaram,09-08-2021,11-08-2021,6307
Hotel Nathan lodge,"ýýý 1,410",Vannar Street | 1.1 km from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 360 Off,4.3, (Very Good),6,5%,['Room Service'],Rameshwaram,09-08-2021,11-08-2021,6308
OYO 80358 Rajesh Pleasant Stays,"ýýý 2,951",Vannar Street | 1.2 km from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 730 Off,4.6, (Excellent),5,10%,"['Caretaker', 'Free Wi-Fi', 'Power Backup']",Rameshwaram,09-08-2021,11-08-2021,6309
Hotel Sethu Residency,"ýýý 1,410",Vannar Street | 1.2 km from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 360 Off,1.9,,18,6%,['Room Service'],Rameshwaram,09-08-2021,11-08-2021,6310
Oyo 78953 Flagship Ram Leela,"ýýý 1,180",V. O. C. Nagar | 760 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,,,,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Rameshwaram,09-08-2021,11-08-2021,6311
OYO Flagship 77609 Hotel New Island Pleasant Stays,"ýýý 1,551",V. O. C. Nagar | 280 m from Rameswaram Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 383 Off,2.4,,14,6%,"['Kitchenette', 'Room Service', 'Power Backup']",Rameshwaram,09-08-2021,11-08-2021,6312
HOTEL ESWAR,ýýý 658,Middle St | 470 m from Arulmigu Ramanathaswamy Temple,Exclusive Offer - HDFC Credit Card Users. Get INR 168 Off,,,,51%,[],Rameshwaram,09-08-2021,11-08-2021,6313
Radisson Blu Hotel,"ýýý 6,800",Main road | 5.3 km from Birsa Munda Airport,,4.4, (Very Good),1112,20%,"['Lounge', 'Butler Services', 'Free Parking']",Ranchi,09-08-2021,11-08-2021,6314
Hotel Sunny,ýýý 763,Near Ranchi Train Station | 820 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 768 Off,3.6, (Good),476,49%,"['Free Parking', 'ATM', 'Elevator/Lift']",Ranchi,09-08-2021,11-08-2021,6315
Le Lac Sarovar Portico,"ýýý 3,290",Ahirtoli | 7.9 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 839 Off,4.3, (Very Good),976,6%,"['Lounge', 'Free Parking', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6316
Jade Square,"ýýý 3,884",Hinoo | 2.5 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 2645 Off,4.4, (Very Good),284,22%,"['Lounge', 'Free Parking', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6317
HOTEL GREEN ACRES,"ýýý 1,925",Near Ranchi Airport | 1.4 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 934 Off,4.6, (Excellent),421,20%,"['Free Airport Transfer', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6318
Maple Wood,"ýýý 2,105",Near Ranchi Train Station | 860 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1022 Off,4, (Very Good),449,27%,"['Free Parking', 'Business Centre', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6319
Capitol Hill,"ýýý 5,174",Main road | 6.4 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 3217 Off,4.5, (Excellent),438,20%,"['Free Parking', 'Business Centre', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6320
HOTEL THE ELEMENTS,"ýýý 2,064",Near Ranchi Train Station | 530 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1002 Off,4.1, (Very Good),395,16%,"['Free Parking', 'Business Centre', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6321
Hotel The Raso,"ýýý 2,742",Gitilpiri | 3.1 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1331 Off,3.9, (Good),478,22%,"['Free Parking', 'Conference Room', 'Bar']",Ranchi,09-08-2021,11-08-2021,6322
OYO Flagship 39786 OXY Royal Residency,"ýýý 1,480",Upper Bazar | 8.2 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 366 Off,,,,,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6323
Hotel Akashdeep,ýýý 856,Main road | 7.0 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,3.5, (Good),26,51%,"['Vehicle Rentals', 'Free Wi-Fi', 'Kitchenette']",Ranchi,09-08-2021,11-08-2021,6324
Capitol Residency,"ýýý 3,545",Near Ranchi Train Station | 560 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1722 Off,,,,,"['Lounge', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6325
HOTEL GENISTA INN,"ýýý 2,701",Kantatoli | 290 m from Kantatoli Bus Stand,Exclusive Offer - HDFC Credit Card Users. Get INR 1312 Off,3.4, (Good),733,14%,"['Free Parking', 'Conference Room', 'ATM']",Ranchi,09-08-2021,11-08-2021,6326
Hotel AVN Plaza,"ýýý 1,578",Near Ranchi Train Station | 460 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 766 Off,4.2, (Very Good),211,16%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Ranchi,09-08-2021,11-08-2021,6327
Hotel Green Horizon,"ýýý 2,229",Near Ranchi Train Station | 600 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1386 Off,4.5, (Excellent),284,16%,"['Lounge', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6328
CHANAKYA BNR HOTEL,"ýýý 2,954",Near Ranchi Train Station | 210 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,4, (Very Good),241,16%,"['Lounge', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6329
THE ROYAL RETREAT,"ýýý 2,350",Khelgaon,Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,4.3, (Very Good),301,26%,"['Butler Services', 'Free Parking', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6330
Hotel Raindew,"ýýý 2,785",Lalpur | 790 m from Kantatoli Bus Stand,Exclusive Offer - HDFC Credit Card Users. Get INR 1352 Off,4.4, (Very Good),168,16%,"['Lounge', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6331
Hotel Coral Grand,"ýýý 1,604",Lalpur | 190 m from Kantatoli Bus Stand,Exclusive Offer - HDFC Credit Card Users. Get INR 779 Off,3.9, (Good),232,6%,"['Business Centre', 'Conference Room', 'Vehicle Rentals']",Ranchi,09-08-2021,11-08-2021,6332
Hotel Pearl Regency,"ýýý 2,110",Delatoli | 5.8 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1025 Off,4.9, (Excellent),83,17%,"['Free Parking', 'Business Centre', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6333
Hotel Beena Inn ranchi,"ýýý 1,410",Near Ranchi Train Station | 630 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 360 Off,4.1, (Very Good),214,16%,"['Conference Room', 'Vehicle Rentals', 'Free Wi-Fi']",Ranchi,09-08-2021,11-08-2021,6334
Hotel Meera Ranchi,ýýý 557,Main road | 900 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 250 Off,4, (Very Good),266,16%,"['Lounge', 'Elevator/Lift', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6335
HOTEL BLUES SHIVALIK,"ýýý 1,347",Near Ranchi Train Station | 380 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1044 Off,3, (Good),119,17%,"['Free Parking', 'Conference Room', 'Vehicle Rentals']",Ranchi,09-08-2021,11-08-2021,6336
Hotel Mercury Residency,"ýýý 1,672",Lalpur | 9.0 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1039 Off,3.3, (Good),138,14%,"['Free Parking', 'Business Centre', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6337
Hotel Jalsa Grand,"ýýý 1,439",Hinoo | 2.5 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 367 Off,3.4, (Good),315,25%,"['Lounge', 'Tours and Treks', 'Free Parking']",Ranchi,09-08-2021,11-08-2021,6338
Hotel Swarn,ýýý 763,Near Ranchi Train Station | 800 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 768 Off,3.6, (Good),125,20%,"['Free Parking', 'Vehicle Rentals', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6339
Royal Ranchi,"ýýý 2,869",Near Ranchi Airport | 1.3 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1393 Off,4.1, (Very Good),58,15%,"['Free Parking', 'Conference Room', 'Vehicle Rentals']",Ranchi,09-08-2021,11-08-2021,6340
CAPITAL O 3993 Hotel Churuwala Inn,"ýýý 1,237",Main road | 6.9 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 305 Off,4.1, (Very Good),90,31%,"['Conference Room', 'Free Wi-Fi', 'Kitchenette']",Ranchi,09-08-2021,11-08-2021,6341
Hotel Palash Residency,"ýýý 1,351",Main road,Exclusive Offer - HDFC Credit Card Users. Get INR 656 Off,3.7, (Good),90,16%,"['Lounge', 'Free Parking', 'Free Wi-Fi']",Ranchi,09-08-2021,11-08-2021,6342
Hotel Pratap Residency,"ýýý 1,457",Lalpur | 770 m from Kantatoli Bus Stand,Exclusive Offer - HDFC Credit Card Users. Get INR 372 Off,3.4, (Good),103,51%,"['Indoor Games', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6343
Collection O 36678 Mountain View Resort,"ýýý 1,478",Bariatu,Exclusive Offer - HDFC Credit Card Users. Get INR 365 Off,4.4, (Very Good),29,16%,"['Free Parking', 'Free Wi-Fi', 'Room Service']",Ranchi,09-08-2021,11-08-2021,6344
Hotel The KEN,"ýýý 3,798",Main road | 6.9 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1845 Off,3.5, (Good),55,25%,"['Conference Room', 'Vehicle Rentals', 'Free Wi-Fi']",Ranchi,09-08-2021,11-08-2021,6345
Hotel AVN Grand,"ýýý 2,800",Main road | 6.7 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 2660 Off,3.7, (Good),154,51%,"['Lounge', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6346
Hotel Yuvraj Palace,"ýýý 2,227",Near Ranchi Train Station | 4.9 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 568 Off,2.9,,225,16%,"['Lounge', 'Free Parking', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6347
Hotel Radiant,"ýýý 1,194",Near Ranchi Train Station | 710 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 742 Off,3.5, (Good),92,30%,"['Free Wi-Fi', 'Elevator/Lift', 'Room Service']",Ranchi,09-08-2021,11-08-2021,6348
Park Prime Hotel,"ýýý 4,220",Morabadi,Exclusive Offer - HDFC Credit Card Users. Get INR 2050 Off,2.3,,6,26%,"['Lounge', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6349
Hotel Ganga Residency,"ýýý 1,351",Ahirtoli | 8.3 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 656 Off,2.9,,317,20%,"['Outdoor Sports', 'Kids Play Area', 'Bonfire']",Ranchi,09-08-2021,11-08-2021,6350
Hotel Pink City,"ýýý 1,351",Main road,Exclusive Offer - HDFC Credit Card Users. Get INR 656 Off,3.6, (Good),207,16%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6351
Hotel Arya,"ýýý 2,388",Lalpur | 9.0 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1485 Off,3.4, (Good),39,16%,"['Free Parking', 'Conference Room', 'Bar']",Ranchi,09-08-2021,11-08-2021,6352
Hotel Raj Residency,"ýýý 1,942",Ahirtoli | 8.7 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 943 Off,4.5, (Excellent),21,16%,"['Butler Services', 'Business Centre', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6353
Arsh Residency,"ýýý 1,990",Ratu Road | 9.6 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1237 Off,3.5, (Good),141,20%,"['Lounge', 'Tours and Treks', 'Kids Play Area']",Ranchi,09-08-2021,11-08-2021,6354
Hotel Rajasthan,ýýý 600,Lalpur | 8.8 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 270 Off,3.8, (Good),134,16%,"['Air Conditioning', 'Room Service', 'Power Backup']",Ranchi,09-08-2021,11-08-2021,6355
Hotel Pratap Grand,ýýý 856,Near Ranchi Train Station | 490 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,4, (Very Good),66,20%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ranchi,09-08-2021,11-08-2021,6356
Hotel Kuber Palace,ýýý 809,Main road | 5.1 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 687 Off,2.5,,11,14%,"['Free Parking', 'Conference Room', 'Bar']",Ranchi,09-08-2021,11-08-2021,6357
HOTEL THE PARK RETREAT,"ýýý 1,773",Kathalkocha | 2.9 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 861 Off,2.7,,21,14%,"['Conference Room', 'Free Wi-Fi', 'Elevator/Lift']",Ranchi,09-08-2021,11-08-2021,6358
Hotel Ajit Residency,ýýý 429,Near Ranchi Train Station | 5.8 km from Birsa Munda Airport,,3.2, (Good),68,26%,"['Free Parking', 'ATM', 'Vehicle Rentals']",Ranchi,09-08-2021,11-08-2021,6359
Hotel Sartaj,ýýý 684,Main road | 6.4 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 308 Off,3, (Good),55,16%,"['Lounge', 'Butler Services', 'Free Parking']",Ranchi,09-08-2021,11-08-2021,6360
OYO 11639 Hotel Accord,"ýýý 2,005",Near Ranchi Train Station | 890 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 495 Off,3.4, (Good),16,6%,"['Conference Room', 'Free Wi-Fi', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6361
Hotel Basera,"ýýý 1,067",Main road | 5.0 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 663 Off,4.6, (Excellent),26,14%,"['Free Parking', 'Conference Room', 'Vehicle Rentals']",Ranchi,09-08-2021,11-08-2021,6362
Bimala Hotel,ýýý 764,Main road | 7.0 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 266 Off,3.2, (Good),30,51%,"['Lounge', 'Free Parking', 'Business Centre']",Ranchi,09-08-2021,11-08-2021,6363
CAPITAL O 11447 Hotel The Tulip,"ýýý 1,742",Bariatu,Exclusive Offer - HDFC Credit Card Users. Get INR 430 Off,3.6, (Good),124,20%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ranchi,09-08-2021,11-08-2021,6364
Hotel Mayuri,ýýý 259,Main road | 1.0 km from Ranchi Railway Station,,4.1, (Very Good),16,10%,"['Free Parking', 'Vehicle Rentals', 'Elevator/Lift']",Ranchi,09-08-2021,11-08-2021,6365
Hotel Gujarat,ýýý 523,Main road | 7.1 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 235 Off,4.4, (Very Good),96,51%,"['Free Parking', 'Elevator/Lift', 'Room Service']",Ranchi,09-08-2021,11-08-2021,6366
HOTEL ARHAM INN,ýýý 695,Main road | 6.8 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 478 Off,2.3,,40,6%,"['Free Parking', 'Vehicle Rentals', 'Room Service']",Ranchi,09-08-2021,11-08-2021,6367
HOTEL KINGS 11,"ýýý 1,098",Near Ranchi Train Station | 960 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 533 Off,2.5,,173,14%,"['Free Wi-Fi', 'Lawn', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6368
Hotel Tribhuvan,ýýý 652,Near Ranchi Train Station | 5.4 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 367 Off,3.6, (Good),134,23%,"['Tours and Treks', 'Kids Play Area', 'Free Parking']",Ranchi,09-08-2021,11-08-2021,6369
Hotel Aditya & Restaurant,ýýý 810,Morabadi,Exclusive Offer - HDFC Credit Card Users. Get INR 688 Off,4.3, (Very Good),12,16%,"['Lounge', 'Kitchenette', 'Elevator/Lift']",Ranchi,09-08-2021,11-08-2021,6370
Hotel Amrit,ýýý 815,Near Ranchi Train Station | 740 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 692 Off,3.4, (Good),198,19%,"['Lounge', 'Free Parking', 'Vehicle Rentals']",Ranchi,09-08-2021,11-08-2021,6371
Hotel Rahi,"ýýý 1,815",Main road | 5.4 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 976 Off,3.4, (Good),9,26%,"['Free Parking', 'Business Centre', 'Conference Room']",Ranchi,09-08-2021,11-08-2021,6372
The Lemon Chile,"ýýý 1,200",Near Ranchi Train Station | 5.2 km from Birsa Munda Airport,,3.2, (Good),78,26%,"['Caretaker', 'Housekeeping', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6373
Hotel Royal India,ýýý 514,Near Ranchi Train Station | 410 m from Ranchi Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 231 Off,2.6,,113,18%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ranchi,09-08-2021,11-08-2021,6374
Hotel Pearl,"ýýý 1,113",Main road | 7.1 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 598 Off,2.9,,9,,"['Business Centre', 'Conference Room', 'ATM']",Ranchi,09-08-2021,11-08-2021,6375
New Raj Residency,"ýýý 1,513",Main road | 5.2 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 940 Off,1,,2,14%,"['Free Parking', 'Conference Room', 'ATM']",Ranchi,09-08-2021,11-08-2021,6376
Hotel Pratap Inn,ýýý 600,Lalpur | 8.6 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 270 Off,3.4, (Good),103,18%,"['Free Parking', 'Room Service', 'Power Backup']",Ranchi,09-08-2021,11-08-2021,6377
Hotel Ojas,"ýýý 1,520",Jai Prakash Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 738 Off,3.3, (Good),75,20%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Ranchi,09-08-2021,11-08-2021,6378
Mandarshan Residency,"ýýý 1,399",Near Ranchi Train Station | 440 m from Ranchi Railway Station,,2.1,,52,14%,"['Caretaker', 'Free Parking', 'Housekeeping']",Ranchi,09-08-2021,11-08-2021,6379
Hotel Landmark,"ýýý 3,208",Lalpur | 8.9 km from Birsa Munda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1558 Off,3.3, (Good),25,16%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ranchi,09-08-2021,11-08-2021,6380
